HexCode,IntCode,Name,Message
0x80090439,-2146892743,"LinkedAttributeOptionSetValueLabelMismatch","OptionSet kabel for value {4} for linked attribute for attribute {0} of entity {1} and attribute {2} of entity {3} does not match."
0x80090438,-2146892744,"LinkedAttributeOptionSetValueMismatch","OptionSet value {2} is not found in linked attribute optionset for attribute {0} of entity {1}"
0x80071120,-2147020512,"LinkedEntitiesAreNotAllowed","The filter contains a link-entity with an invalid link-type. The link-type must be ""Any"" or ""Not Any""."
0x80071143,-2147020477,"LinkEntityCountExceeded","The profile could not be published because one or more tables exceed the allowed number of relationships of {1}. Please reduce the number of relationships for the following table(s): {0}."
0x8004D239,-2147167687,"LiveAdminUnknownCommand","Unknown administration command {0}"
0x8004D238,-2147167688,"LiveAdminUnknownObject","Unknown administration target {0}"
0x8004B524,-2147175132,"LivePlatformEmailInvalidBody","The ""Body"" parameter is blank or null"
0x8004B522,-2147175134,"LivePlatformEmailInvalidFrom","The ""From"" parameter is blank or null"
0x8004B523,-2147175133,"LivePlatformEmailInvalidSubject","The ""Subject"" parameter is blank or null"
0x8004B521,-2147175135,"LivePlatformEmailInvalidTo","The ""To"" parameter is blank or null"
0x8005B520,-2147109600,"LivePlatformGeneralEmailError","An Email Error Occurred"
0x80072453,-2147015597,"LocalDataSourceAbortError","The browser operation stopped. Please try again."
0x80072455,-2147015595,"LocalDataSourceDatabaseError","The browser operation failed due to browser database errors. Please try again. If it doesn’t work, try the same operation again by ensuring that your device remains unlocked until the operation completes."
0x80072451,-2147015599,"LocalDataSourceError","The operation failed. Please try again."
0x80072452,-2147015598,"LocalDataSourceQuotaExceededError","The operation failed because there was not enough space in the browser storage quota or the browser storage quota was reached, and the user declined to provide more space to the browser database."
0x80072454,-2147015596,"LocalDataSourceTimeOutError","The operation timed out. Please try again."
0x80072043,-2147016637,"LockdownOfUnmanagedSolutionImports","This environment doesn't allow unmanaged customizations. This was a choice made by your admin, and certain actions won't be available or will be view only. Learn more: https://go.microsoft.com/fwlink/?linkid=2251006"
0x80072042,-2147016638,"LockdownOfUnmangedCustomization","This environment doesn't allow unmanaged customizations. This was a choice made by your admin, and certain actions won't be available or will be view only. Learn more: https://go.microsoft.com/fwlink/?linkid=2251006"
0x8004F703,-2147158269,"LockStatusNotValidForDynamicList","Lock Status cannot be specified for a dynamic list."
0x800608D2,-2147088174,"LogoImageNodeDoesNotExist","Logo Image node in organization cache theme data doesnot exist."
0x80040372,-2147220622,"LongParseRow","The row is too long to import"
0x80040353,-2147220653,"LookupNotFound","The lookup reference could not be resolved"
0x80048541,-2147187391,"LowerVersionUpgrade","The import solution must have a higher version than the existing solution it is upgrading."
0x80043b01,-2147206399,"LowQuantityGreaterThanHighQuantity","Low quantity should be less than high quantity."
0x80043b00,-2147206400,"LowQuantityLessThanZero","Low quantity should be greater than zero."
0x80061234,-2147085772,"MailApp_AdalAcquireTokenError","An error in the acquire token method in ADAL"
0x80061231,-2147085775,"MailApp_AdalDifferentTenantIds","The tenant id for the CRM token is different than the tenant id for the application"
0x80061232,-2147085774,"MailApp_AdalDifferentUrls","The resource token is for a CRM domain that does not match the requesting CRM domain"
0x80061236,-2147085770,"MailApp_AdalGeneralError","Unknown ADAL error occurred"
0x80061230,-2147085776,"MailApp_AdalInvalidReplyUrl","The reply url is not a known Microsoft Dynamics CRM domain"
0x80061233,-2147085773,"MailApp_AdalMalformedUrl","The redirect and/or resource URL is malformed"
0x80061235,-2147085771,"MailApp_AdalWhoAmIError","An error occurred in the WhoAmI request in ADAL"
0x80061227,-2147085785,"MailApp_AppModuleDashboardFormInactive","App for Outlook Dashboard form is inactive."
0x80061223,-2147085789,"MailApp_AppModuleDashboardFormMissing","App for Outlook Dashboard form is missing."
0x80061228,-2147085784,"MailApp_AppModuleDashboardFormRoleNotAssigned","User does not have access to the App for Outlook Dashboard."
0x80070004,-2147024892,"MailApp_AppModulePermission","Сurrent user role does not have required permissions to access App for Outlook"
0x80061224,-2147085788,"MailApp_AppModuleSitemapDashboardMissing","App for Outlook Dashboard is missing in Site Map."
